date,ppo_agent,buy_and_hold,monthly_rebalance
2021-05-26,148354.19568822024,151637.72423947163,149937.3048569837
2021-05-27,148101.34156595677,151430.14147816336,149736.41813485188
2021-05-28,148153.0708791859,151643.24077045178,149951.342111364
2021-06-01,148703.3415831433,151424.55696551007,149729.3443721878
2021-06-02,148307.20034321907,151752.28617666377,150053.22590325525
2021-06-03,149024.30243609566,150612.9496371237,148926.2879845778
2021-06-04,146142.34437022847,152139.68843802786,150433.11834048037
2021-06-07,147717.72061553242,152226.5055736818,150517.02474141633
2021-06-08,148298.24721726804,152369.99619730766,150660.650251854
2021-06-09,147854.3482010663,152536.88467747587,150829.27767545637
2021-06-10,147583.0635969536,153313.37542502003,151599.31193392037
2021-06-11,148221.4706638642,153046.9393517396,151340.36355939688
2021-06-14,146589.80978675754,152994.95565295027,151292.24726451648
2021-06-15,145744.96986290478,152589.3306474698,150889.3700609836
2021-06-16,145197.42338973194,151766.0163259179,150087.59632514292
2021-06-17,142778.74084389128,151662.7318304627,150039.88038427665
2021-06-18,138491.33181206946,151412.1863870581,149813.53614371468
2021-06-21,137742.16584139018,151900.52137219935,150243.25499015916
2021-06-22,139394.72214806336,152290.19082119374,150648.5461248028
2021-06-23,138829.3819224192,152172.5302538088,150531.26224727547
2021-06-24,138736.3474916201,152574.05443370476,150939.45753970952
2021-06-25,138660.36888105964,152423.64729097,150772.75391423723
2021-06-28,139103.70939163765,153170.19350015465,151534.2380458041
2021-06-29,139111.42023291992,153026.9468599834,151423.6459895462
2021-06-30,137677.746128982,153289.26409315673,151672.41060975482
2021-07-01,138336.01732746226,153578.32624341064,151946.65116440135
2021-07-02,138805.62977870973,154552.46127043996,152910.7385688456
2021-07-06,139714.1219024769,155142.62221086505,153494.35720204414
2021-07-07,140407.39548543497,155713.5602232546,154061.28188555592
2021-07-08,140943.02393093266,155373.43485002173,153725.76731977315
2021-07-09,140846.12002380984,155565.36170117476,153906.23641531155
2021-07-12,141299.33697205712,155716.54579175322,154056.25884894503
2021-07-13,141130.99610147421,155415.40759544325,153758.08157822193
2021-07-14,141302.41711903492,156205.0037903945,154540.22441350372
2021-07-15,142804.5982027449,156226.1234325198,154560.01534087758
2021-07-16,142832.006254606,155365.8765671408,153705.58427563473
2021-07-19,141460.85537764596,155370.45704701723,153723.89450669373
2021-07-20,141628.88277420364,155839.6930987827,154163.2793290046
2021-07-21,141454.57774221728,155819.13034085225,154129.75027991037
2021-07-22,140933.28424318586,156445.92246067745,154753.7646488548
2021-07-23,141216.39042394696,156828.67595736097,155130.2202522457
2021-07-26,140787.06512885843,156760.16394490324,155062.9828129519
2021-07-27,140457.7298471259,156658.61093410786,154956.81411334136
2021-07-28,140683.68832131935,156929.17803366028,155224.392583198
2021-07-29,141382.51089219894,157289.59331331472,155578.64570774167
